유형,논문 ID,저자명,주저자 소속기관,논문명,논문영어명,학술지명,저자키워드,참고문헌 수,인용된 총 횟수,발행기관명,발행연도,발행일,권,호,특별호,시작 페이지,끝 페이지,논문번호,DOI,주제분야,URL,KCI 등재 구분,반출일,논문명_원본,기관_부모,발행월,발행호,발행순서,주저자_소속_게재시점,기관_부모_보정,소속_판정
J,ART002461219,김성철,금강대학교,정려의 구성요소를 둘러싼 여러 학파의 해석 (1)__행복의 실체 논쟁을 중심으로,On the Interpretation of the Factor of Dhyāna,인도철학,"정려, 행복, 경안, 설일체유부, 경량부, 유가행파",48.0,6.0,인도철학회,2019,Apr. 30.,,55.0,,47.0,82.0,,10.32761/kjip.2019..55.002,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002461219,등재,2026-04-13,정려의 구성요소를 둘러싼 여러 학파의 해석 (1)__행복의 실체 논쟁을 중심으로__,금강대학교,4,제55집,54,금강대학교,금강대학교,일치
J,ART002461229,이경희,동국대학교 불교문화연구원,菩薩十地와 ‘淸淨’의 의미__『十地經論』을 중심으로,The meaning of Bodhisattva’s ten stages and Viśuddhi,인도철학,"菩薩十地, 佛智, 佛智의 개현, 본래청정, 잡염청정, 순수청정",36.0,3.0,인도철학회,2019,Apr. 30.,,55.0,,83.0,113.0,,10.32761/kjip.2019..55.003,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002461229,등재,2026-04-13,菩薩十地와 ‘淸淨’의 의미__『十地經論』을 중심으로__,동국대학교,4,제55집,54,동국대학교,동국대학교,일치
J,ART002461211,박기열,금강대학교 불교문화연구소,지넨드라붓디의 ‘니야야 학파의 직접지각 정의’에 대한 검증,Examination on pratyakṣa of Nyāya school in Jinendrabuddhi’s Pramāṇasamuccayaṭīkā,인도철학,"지각, 언어표현, 일탈, 확정, 한정자, 피한정자",23.0,1.0,인도철학회,2019,Apr. 30.,,55.0,,5.0,45.0,,10.32761/kjip.2019..55.001,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002461211,등재,2026-04-13,지넨드라붓디의 ‘니야야 학파의 직접지각 정의’에 대한 검증,금강대학교,4,제55집,54,금강대학교,금강대학교,일치
J,ART002421696,이태승,위덕대학교,대·소본 『반야심경』의 비교를 통한반야바라밀다주 고찰,A Study on whether or not the Prajñāpāramitā is a Spell through the Comparison of the Large Heart sutra version and Small Heart Sutra version,인도철학,"대본반야심경, 소본반야심경, 반야바라밀다주, 반야심주, 현장",27.0,3.0,인도철학회,2018,Dec. 31.,,54.0,,271.0,302.0,,10.32761/kjip.2018..54.009,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002421696,등재,2026-04-13,대·소본 『반야심경』의 비교를 통한반야바라밀다주 고찰,위덕대학교,12,제54집,53,위덕대학교,위덕대학교,일치
J,ART002421673,이규완,경상대학교 인문학연구소,자이니즘의 paramāṇu와 pradeśa에 관하여,On paramāṇu and pradeśa in Jaina Philosophy,인도철학,"극미, 공간점, 자이니즘, 지바, 물질, 계량화, 시간점, 속박",26.0,2.0,인도철학회,2018,Dec. 31.,,54.0,,201.0,239.0,,10.32761/kjip.2018..54.007,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002421673,등재,2026-04-13,자이니즘의 paramāṇu와 pradeśa에 관하여,경상대학교,12,제54집,53,경상국립대학교,경상국립대학교,보정적용
J,ART002421647,강성용,서울대학교,"쌍쓰끄리땀의 아누쓰바라와 콧소리 표기, 그 역사적 맥락과 표기 원칙","Writing anusvāra and nasal consonants in Sanskrit, the question of principle and its historical context for practical orientation",인도철학,"빠니니, 콧소리 표기, 아누쓰바라, 빈두, 짠드라빈두, 싼디",25.0,0.0,인도철학회,2018,Dec. 31.,,54.0,,123.0,161.0,,10.32761/kjip.2018..54.005,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002421647,등재,2026-04-13,"쌍쓰끄리땀의 아누쓰바라와 콧소리 표기, 그 역사적 맥락과 표기 원칙",서울대학교,12,제54집,53,서울대학교,서울대학교,일치
J,ART002421665,정승석,동국대학교,상키야 철학에서 인식의 동시성과 순차성 문제,The Issue of 'Simultaneity and Sequentiality of Cognition' in Sāṃkhya Philosophy,인도철학,"구기설, 불구기설, 동시적 작용, 순차적 작용, 문지기와 문, 선화륜(旋火輪)",30.0,0.0,인도철학회,2018,Dec. 31.,,54.0,,163.0,200.0,,10.32761/kjip.2018..54.006,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002421665,등재,2026-04-13,상키야 철학에서 인식의 동시성과 순차성 문제,동국대학교,12,제54집,53,동국대학교,동국대학교,일치
J,ART002421737,조석효,고려대학교,Intellectual History: Pivoting on Historicity in Philosophy_An Example from Buddhism,Intellectual History: Pivoting on Historicity in Philosophy_An Example from Buddhism_,인도철학,"intellectual history, historicity, historicity in philosophy, Yogācāra philosophers, logical circularity",63.0,0.0,인도철학회,2018,Dec. 31.,,54.0,,303.0,342.0,,10.32761/kjip.2018..54.010,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002421737,등재,2026-04-13,Intellectual History: Pivoting on Historicity in Philosophy_An Example from Buddhism_,고려대학교,12,제54집,53,고려대학교,고려대학교,일치
J,ART002376729,정상교,동국대학교(경주캠퍼스) 티벳대장경역경원,『반야등론』 제9장의 선행 주체(pūrva-vyavasthita) 연구,A Study of a Preceding Subject(pūrva-vyavasthita): based on Prajñāpradīpa chp. 9,인도철학,"반야등론, 푸드갈라, 독자부, 성언량, 문장단어론",19.0,5.0,인도철학회,2018,Aug. 31.,,53.0,,197.0,218.0,,10.32761/kjip.2018..53.007,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002376729,등재,2026-04-13,『반야등론』 제9장의 선행 주체(pūrva-vyavasthita) 연구,동국대학교,8,제53집,52,동국대학교,동국대학교,일치
J,ART002376731,박기열,금강대학교 불교문화연구소,불교철학의 비존재와 비인식의 관계__『니야야빈두』 「위자비량」과 다르못타라의 주석을 중심으로,The Relatedness between abhāva and anupalabdhi in Svārthānumānaparicchedaḥ of Nyāyabindu and Dharmottara’s ṭīkā,인도철학,"존재, 인식, 자성, 비존재, 비인식",22.0,3.0,인도철학회,2018,Aug. 31.,,53.0,,219.0,255.0,,10.32761/kjip.2018..53.008,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002376731,등재,2026-04-13,불교철학의 비존재와 비인식의 관계__『니야야빈두』 「위자비량」과 다르못타라의 주석을 중심으로__,금강대학교,8,제53집,52,금강대학교,금강대학교,일치
